Index,Longitude,Latitude,have_plant
98,-121.401009,38.515353,1
99,-121.259196,38.56146,1
100,-114.571952,33.597048,1
101,-114.571681,33.598564,1
102,-119.540118,36.505254,1
103,-119.128349,36.265953,1
104,-121.148813,38.135935,1
105,-121.140603,38.121389,1
106,-122.139854,37.633492,1
107,-116.543137,33.89107,1
108,-120.525809,37.890378,1
109,-121.172447,38.644086,1
110,-118.435099,34.792128,1
111,-116.352258,33.293521,1
112,-118.846316,35.299856,1
113,-121.414346,38.36581,1
114,-120.158887,36.942735,1
115,-121.162278,38.613694,1
116,-117.652331,35.634879,1
117,-120.681818,35.557914,1
118,-114.742253,33.591974,1
119,-120.891311,36.629772,1
120,-121.168241,38.611219,1
121,-119.451879,35.874844,1
122,-114.764833,33.703743,1
123,-121.111904,38.34787,1
124,-119.714009,36.783741,1
125,-114.903852,33.565266,1
126,-119.073924,36.028665,1
127,-122.483522,37.750828,1
128,-120.895417,37.858419,1
129,-116.560154,33.908674,1
130,-114.65691,33.666084,1
131,-118.163909,35.048908,1
132,-117.920591,34.907637,1
133,-119.582386,36.141488,1
134,-117.939586,34.612272,1
135,-119.910352,36.221972,1
136,-116.001614,33.116481,1
137,-116.002991,33.109168,1
138,-120.324509,37.120529,1
139,-121.151644,37.366707,1
140,-119.806731,36.214536,1
141,-119.912225,36.230414,1
142,-120.243421,36.391972,1
143,-119.049593,35.831023,1
144,-119.039789,35.82219,1
145,-119.068501,35.855438,1
146,-120.667732,36.876816,1
147,-120.151899,35.996053,1
148,-120.339146,36.554384,1
149,-120.345676,36.54837,1
150,-120.339384,35.872013,1
151,-119.590942,34.901577,1
152,-118.470955,34.829497,1
153,-118.291834,34.716572,1
154,-118.293789,34.723656,1
155,-118.296354,34.727542,1
156,-118.313086,34.727199,1
157,-118.302936,34.726891,1
158,-118.337643,34.698237,1
159,-118.327867,34.69278,1
160,-118.278367,35.020441,1
161,-118.308755,34.72545,1
162,-117.936188,34.613611,1
163,-119.844433,35.608789,1
164,-118.06252,34.696333,1
165,-118.290546,34.712088,1
166,-118.291986,34.711913,1
167,-117.001487,33.233067,1
168,-117.192798,34.544533,1
169,-118.124893,34.701058,1
170,-118.887207,35.146166,1
171,-121.404082,36.831899,1
172,-117.192742,34.550338,1
173,-119.588717,36.147519,1
174,-117.341455,34.58338,1
175,-123.017277,38.774443,1
176,-117.143443,34.496399,1
177,-116.874251,33.010667,1
178,-118.129736,34.708936,1
179,-121.703675,38.00172,1
180,-118.311349,34.721409,1
181,-118.885279,35.148877,1
182,-117.342225,34.584613,1
183,-117.341622,34.582289,1
184,-119.541797,36.129361,1
185,-120.383854,36.585348,1
186,-115.428453,35.587142,1
187,-120.399372,36.570855,1
188,-119.629409,35.415837,1
189,-119.638251,35.416024,1
190,-119.568936,35.61905,1
191,-119.240648,35.1246,1
192,-118.820816,35.323547,1
