lon,lat,centroid,elevation,slope_angle,bearing_angle
-116.80342684175955,34.98042075146002,POINT (-116.80342684175955 34.98042075146002),897.1400146484375,-61.706845876396,45.0
-116.73197477863563,34.953393724432985,POINT (-116.73197477863563 34.953393724432985),633.9000244140625,-15.563385342233582,135.0
-116.74296740373163,34.92186219290146,POINT (-116.74296740373163 34.92186219290146),571.0233764648438,-0.01452633904674927,135.0
-116.90236046762345,35.016456787496054,POINT (-116.90236046762345 35.016456787496054),943.0062255859375,-8.26066509323988,135.0
-116.8583899672395,35.038979310018576,POINT (-116.8583899672395 35.038979310018576),779.6254272460938,-20.441345215054625,90.0
-116.77594527901958,34.87681714785641,POINT (-116.77594527901958 34.87681714785641),579.8578491210938,-1.3211034020411576,135.0
-116.73197477863563,34.97591624695551,POINT (-116.73197477863563 34.97591624695551),582.458984375,-3.381415255248705,45.0
-116.80342684175955,34.97591624695551,POINT (-116.80342684175955 34.97591624695551),850.7340087890625,-39.20568847695529,90.0
-116.91335309271942,35.043483814523086,POINT (-116.91335309271942 35.043483814523086),1025.500732421875,-40.61204255100442,135.0
-116.92434571781541,34.917357688396955,POINT (-116.92434571781541 34.917357688396955),676.4259643554688,-13.590026855434628,180.0
-116.72647846608766,35.02546579650506,POINT (-116.72647846608766 35.02546579650506),535.655517578125,-0.8929460724714329,315.0
-116.90785678017146,34.984925255964534,POINT (-116.90785678017146 34.984925255964534),995.2933959960938,-50.24023437487386,180.0
-116.89686415507545,35.038979310018576,POINT (-116.89686415507545 35.038979310018576),866.970947265625,-20.171670107489874,45.0
-116.78144159156759,34.97141174245101,POINT (-116.78144159156759 34.97141174245101),663.4808349609375,-4.055847168003803,90.0
-116.81441946685555,34.9669072379465,POINT (-116.81441946685555 34.9669072379465),821.9304809570312,-8.000488281247685,90.0
-116.90785678017146,34.88132165236091,POINT (-116.90785678017146 34.88132165236091),649.2328491210938,-2.9860782084013016,225.0
-116.72647846608766,34.94888921992849,POINT (-116.72647846608766 34.94888921992849),592.051025390625,-3.4515924278667627,135.0
